"application/applefile","AppleDouble MIME Format","DAT, AD",0,"M","2.16.00",2439
"application/applefile","AppleSingle MIME Format",0,0,"M","2.16.00",2438
"application/applefile","MacBinary (Mac Data + Resource Fork)","MAC","Y","H","2.15.00",13
"application/atom+xml","Atom Format","ATOM","Y","H","2.16.00",2440
"application/avast-aswcs","avast! Antivirus Skin","ASWCS",0,"M","2.20.00",2869
"application/cnrp+xml","Common Name Resolution Protocol","CNRP","Y","H","2.16.00",2441
"application/cpl+xml","Call Processing Language","CPL","Y","H","2.16.00",2442
"application/cprplayer","Corel Presents Presentation","PQF, SHW, CPR","Y","H","2.27.00",634
"application/dca-rft","IBM DCA Revisable Form Text","RFT",0,"M","2.19.00",1010
"application/dicom","DICOM Image","DICM, DCM",0,"M","2.20.01",1550
"application/dicom","DICOM Image (MacBinary)","DICM, DCM",0,"M","2.16.00",2443
"application/dvcs","Internet X.509 Public Key DVCS Protocol","DVCS",0,"M","2.16.00",2444
"application/epp+xml","Extensible Provisioning Protocol","EPP","Y","H","2.16.00",2445
"application/epub+zip","Open Publication Structure eBook","EPUB",0,"H","2.26.00",3573
"application/fastinfoset","Fast Infoset (XML)","FINF","Y","H","2.16.00",2446
"application/fits","Flexible Image Transport System Bitmap","FITS, FIT, FTS, LST",0,"M","2.08.00",726
"application/freeloader","FormFlow Form","FRL, FRP, FRZ","Y","H","2.27.00",3629
"application/hyperstudio","HyperStudio Stack (MacBinary)","STK",0,"M","2.16.00",2447
"application/iges","Initial Graphics Exchange Specification","IGES, IGS",0,"M","2.26.01",795
"application/igs","Initial Graphics Exchange Specification","IGES, IGS",0,"M","2.26.01",795
"application/javascript","Java Script Source Code File","JS, ASP, HTM, HTML, HTT, HTC, ASPX, ASCX",0,"H","2.23.01",401
"application/javascript","Web Script Source Code","JS, ASP, HTM, HTML, HT?, INC, AS?X, BAS",0,"M","2.23.01",3319
"application/keychain_access","CrossePAC Compressed Archive","PAC",0,"M","2.06.00",1362
"application/keychain_access","x509 Security Certificate","CRT",0,"M","2.21.00",2984
"application/keychain_access","x509v3 Security Certificate","CRT",0,"M","2.21.00",2985
"application/lzx","LZX Archive","LZX",0,"M","2.29.00",471
"application/mac-binhex40","BinHex Archive","HQX, HEX","Y","M","1.00.00",259
"application/mac-binhex40","BinHex Archive (MacBinary)","HQX, HEX",0,"M","2.09.00",1797
"application/macwriteii","MacWrite II (MacBinary)",0,0,"M","2.16.00",2448
"application/macwriteii","MacWrite II Document (MacBinary)",0,0,"M","2.09.00",1753
"application/mp4","AAC MPEG-4 Audio","MP4, MPG4",0,"M","2.29.00",1534
"application/mp4","Apple MPEG-4 ALE Audio","M4A, MP4, MPG4",0,"M","2.07.00",1530
"application/mp4","MPEG 4 Animation","MP4, MPEG, MPG4",0,"M","2.16.00",2423
"application/mp4","MPEG 4 Animation (MacBinary)","MP4, MPEG, MPG4",0,"M","2.16.00",2449
"application/MP4A-LATM","AAC MPEG-4 Audio","MP4, MPG4",0,"M","2.29.00",1534
"application/MP4A-LATM","Apple MPEG-4 ALE Audio","M4A, MP4, MPG4",0,"M","2.07.00",1530
"application/msword","MS Word 6.0/95 Document (pre-OLE)","DOC, DOT, WIZ, WZS, WRI, WBK","Y","M","2.19.00",2738
"application/msword","MS Word 97-2003 Document (OLE)","DOC, DOT, WIZ, WZS, WRI, WBK","Y","H","2.30.04",229
"application/msword","MS Word for DOS/Macintosh Document","DOC","Y","H","1.00.00",217
"application/msword","MS Word/Publisher Wizard","WIZ",0,"L","2.00.00",1147
"application/mxf","Material Exchange Format File","MXF",0,"M","2.10.00",1921
"application/mxf","Material Exchange Format File (MacBinary)","MXF",0,"M","2.16.00",2450
"application/octet-stream","Binary Data File (Unknown Source)","BIN, BI",0,"L","1.05.00",380
"application/octet-stream","Sun Compacted Archive",0,0,"M","2.22.00",3118
"application/octet-stream","Ultrix Compacted Archive",0,0,"M","2.22.00",3119
"application/octet-stream","UU-Encoded File","UU, UUE, DAT","Y","H","2.03.15",1109
"application/ogg","OGG FLAC Compressed Audio","OGG",0,"M","2.24.00",2922
"application/ogg","OGG Vorbis Compressed Audio","OGG, OGA",0,"M","2.24.00",1537
"application/ogg","OGG Vorbis Compressed Audio (MacBinary)","OGG",0,"M","2.16.00",2451
"application/ogg","OGG Vorbis Compressed Video","OGM, OGV",0,"M","2.26.00",1934
"application/ogg","OGG Vorbis Compressed Video (MacBinary)","OGM, OGV",0,"M","2.26.00",3593
"application/ogg","Speex Encoded Audio","SPX",0,"M","2.24.00",1727
"application/pdf","Adobe Portable Document (MacBinary)","PDF","Y","H","2.26.00",1331
"application/pdf","Adobe Portable Document Format","PDF","Y","H","2.31.00",258
"application/pdf","Adobe Portable Document Format (PDF/A)","PDF","Y","H","2.31.02",4065
"application/pdf","Adobe Portable Document Format (PDF/A-1a)","PDF","Y","H","2.31.02",4062
"application/pdf","Adobe Portable Document Format (PDF/A-1b)","PDF","Y","H","2.31.02",4063
"application/pdf","Adobe Portable Document Format (PDF/X)","PDF","Y","H","2.31.02",4064
"application/pgp","Pretty Good Privacy Message (ASCII)",0,0,"M","2.22.00",3086
"application/pgp","Pretty Good Privacy Signed Message (ASCII)",0,0,"M","2.22.00",3084
"application/pgp-encrypted","Pretty Good Privacy Encrypted Data",0,0,"M","2.16.00",2435
"application/pgp-encrypted","Pretty Good Privacy Key/Signature/Data","PGP",0,"M","2.16.00",942
"application/pgp-encrypted","Pretty Good Privacy Private Key Block (ASCII)",0,0,"M","2.24.00",3413
"application/pgp-encrypted","Pretty Good Privacy Public Key Block",0,0,"M","2.16.00",2432
"application/pgp-encrypted","Pretty Good Privacy Public Key Block (ASCII)",0,0,"M","2.22.00",3085
"application/pgp-encrypted","Pretty Good Privacy Signature",0,0,"M","2.16.00",2434
"application/pgp-encrypted","Pretty Good Privacy Signature (ASCII)","ASC",0,"H","2.18.00",2627
"application/pgp-encrypted","Pretty Good Privacy Signed Message",0,0,"M","2.16.00",2433
"application/pgp-encrypted","Pretty Good Privacy Virtual Disk Image","PGD",0,"M","2.09.00",1730
"application/pgp-encrypted","Pretty Simple Archive","PSA",0,"M","2.14.00",2307
"application/pgp-keys","Pretty Good Privacy (PGP) Private Keyring","SKA, SKR",0,"M","2.07.00",1066
"application/pgp-keys","Pretty Good Privacy Key/Signature/Data","PGP",0,"M","2.16.00",942
"application/pgp-keys","Pretty Good Privacy Private Key Block (ASCII)",0,0,"M","2.24.00",3413
"application/pgp-keys","Pretty Good Privacy Public Key Block",0,0,"M","2.16.00",2432
"application/pgp-keys","Pretty Good Privacy Public Key Block (ASCII)",0,0,"M","2.22.00",3085
"application/pgp-keys","Pretty Good Privacy Public Keyring","PKR",0,"M","2.16.00",1452
"application/pgp-signature","Pretty Good Privacy Key/Signature/Data","PGP",0,"M","2.16.00",942
"application/pgp-signature","Pretty Good Privacy Signature",0,0,"M","2.16.00",2434
"application/pgp-signature","Pretty Good Privacy Signature (ASCII)","ASC",0,"H","2.18.00",2627
