application/pdf = text/pdf
application/sgml = text/html, text/sgml
application/x-123 = application/lotus123, application/vnd.lotus-1-2-3
application/x-compressed = application/x-bzip, application/x-bzip2
application/x-gtar = application/x-compress
application/xhtml+xml = text/xml, application/xml, text/html
application/x-maker = application/vnd.framemaker
application/xml = text/xml
application/x-powerpoint = application/vnd.ms-powerpoint
application/x-shell = application/x-sh
application/x-vnd.openxmlformat = application/vnd.openxmlformats
application/x-xlt = application/vnd.ms-excel
image/fits = application/fits
image/x-bmp = image/bmp, image/x-ms-bmp
image/x-photoshop = image/vnd.adobe.photoshop
image/x-pipeg = image/jpeg
image/x-vnd.rn-realflash = application/x-shockwave-flash
message/x-rfc2822 = message/rfc822
text/rtf = application/rtf
text/tab-separated-values = text/csv
text/x-comma-separated-values = text/csv
text/xml = application/xml
text/x-pdf = application/pdf, text/pdf
text/x-webviewhtml = text/html, application/xhtml+xml
video/x-ms-wm = audio/x-ms-wma, video/x-ms-wmv
x-drawing/x-dwf = model/vnd.dwf
x-drawing/x-dwg = image/vnd.dwg
x-world/x-vrml = model/vrml
zz-application/zz-winassoc-dxf = image/vnd.dxf
